user_id,count_futures_trader,count_index_options_non_scalper,count_index_options_scalper,count_index_options_seller,count_investor,count_stock_options_non_scalper,count_stock_options_scalper,count_stock_options_seller,count_stock_trader,count_unmapped,pct_futures_trader,pct_index_options_non_scalper,pct_index_options_scalper,pct_index_options_seller,pct_investor,pct_stock_options_non_scalper,pct_stock_options_scalper,pct_stock_options_seller,pct_stock_trader,pct_unmapped,total_trades,primary_persona
csr2it156bs1obhui3n0,0,2,2,0,1,0,0,0,2,0,0.0,28.57,28.57,0.0,14.29,0.0,0.0,0.0,28.57,0.0,7,mixed
ct398in2crq4bqlvlst0,0,0,265,25,0,3,3,1,0,0,0.0,0.0,89.23,8.42,0.0,1.01,1.01,0.34,0.0,0.0,297,index options scalper
ct3dnan2crq9009t4gb0,3,5,0,2,0,0,0,0,1,0,27.27,45.45,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,11,mixed
ct3ehij7545f892i04k0,0,7,26,0,4,0,0,0,7,0,0.0,15.91,59.09,0.0,9.09,0.0,0.0,0.0,15.91,0.0,44,mixed
ct41ar72crq06uof7rd0,0,0,24,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,index options scalper
ct6kimr75459r2gcun30,0,9,32,0,4,0,0,0,8,0,0.0,16.98,60.38,0.0,7.55,0.0,0.0,0.0,15.09,0.0,53,index options scalper
ct782tb75451o5hc5tcg,0,7,93,0,0,0,0,0,0,0,0.0,7.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,index options scalper
ct787fr75451o5hc61ng,0,0,4,0,0,1,0,0,0,0,0.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5,index options scalper
ct7c1i375453seuerl10,0,2,96,0,0,0,0,0,1,0,0.0,2.02,96.97,0.0,0.0,0.0,0.0,0.0,1.01,0.0,99,index options scalper
ct80sn304esbnc9uqhhg,0,0,20,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,index options scalper
ct8jsjp56bs5pla6tprg,0,6,40,0,0,58,0,2,0,0,0.0,5.66,37.74,0.0,0.0,54.72,0.0,1.89,0.0,0.0,106,mixed
ct8ktu156bs5pla6uuog,0,0,50,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,index options scalper
ctbrjqh56bs2s8vn23hg,0,534,310,7,0,21,0,0,0,0,0.0,61.24,35.55,0.8,0.0,2.41,0.0,0.0,0.0,0.0,872,index options non-scalper
ctc8d5f2crq95jtllj1g,0,6,0,10,0,0,0,0,0,0,0.0,37.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,16,index options seller
ctg22ij04escocr3rtc0,0,0,17,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,index options scalper
cti9pif2crq4pvpolim0,0,0,46,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,index options scalper
ctpqemg9524s73advc5g,0,4,3,0,0,0,0,0,0,0,0.0,57.14,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,mixed
ctujs7d5m0ps73cc87vg,0,0,5,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,index options scalper
cu1jkj09524s73fl8k0g,0,0,114,1,0,0,0,0,0,0,0.0,0.0,99.13,0.87,0.0,0.0,0.0,0.0,0.0,0.0,115,index options scalper
cu3m9dd5m0ps73fmo1l0,0,0,39,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,index options scalper
cua5m08o80ps738j9ng0,0,318,5,0,0,3,0,0,0,0,0.0,97.55,1.53,0.0,0.0,0.92,0.0,0.0,0.0,0.0,326,index options non-scalper
cue61u30mv7c73bebakg,0,1,51,1,0,0,0,0,0,0,0.0,1.89,96.23,1.89,0.0,0.0,0.0,0.0,0.0,0.0,53,index options scalper
cueidk0o80ps73b3r360,0,79,2,0,8,0,0,0,1,0,0.0,87.78,2.22,0.0,8.89,0.0,0.0,0.0,1.11,0.0,90,index options non-scalper
cueo0nl5m0ps739jk1q0,0,0,0,0,24,0,0,0,3,0,0.0,0.0,0.0,0.0,88.89,0.0,0.0,0.0,11.11,0.0,27,investor
cuf0drba29bs738f5e2g,0,0,203,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,index options scalper
cufhef30mv7c73c080c0,0,12,3,0,1,0,0,0,0,0,0.0,75.0,18.75,0.0,6.25,0.0,0.0,0.0,0.0,0.0,16,index options non-scalper
cugv74b0mv7c73a58vag,0,105,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,index options non-scalper
cuh22lt5m0ps73btegjg,0,3,92,211,1,0,0,4,0,0,0.0,0.96,29.58,67.85,0.32,0.0,0.0,1.29,0.0,0.0,311,index options seller
cuh4bod5m0ps73bti5b0,0,1,538,0,1,0,1,0,0,0,0.0,0.18,99.45,0.0,0.18,0.0,0.18,0.0,0.0,0.0,541,index options scalper
cuhfis55m0ps73bttrg0,0,0,256,0,0,0,0,0,3,0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,0.0,1.16,0.0,259,index options scalper
cui9fur0mv7c7383lsi0,0,0,11,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,index options scalper
cuotbqoo80ps7398tpb0,0,206,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,index options non-scalper
cuq17ad5m0ps73ch3qhg,0,1,0,0,0,5,0,0,0,0,0.0,16.67,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,6,stock options non-scalper
cuqdnk3a29bs73b33an0,0,0,353,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353,index options scalper
cus6ps8o80ps73e8tfq0,0,1,0,0,0,0,0,0,5,0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,83.33,0.0,6,stock trader
cusorrd5m0ps73f9anlg,0,0,213,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,index options scalper
cutcirra29bs73chadvg,0,0,0,0,0,48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,48,stock options non-scalper
cuvh1bt5m0ps73as2er0,0,5,7,0,0,0,0,0,0,0,0.0,41.67,58.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,mixed
cuvmkn9689fs73cgvv9g,0,0,138,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,index options scalper
cv4rqhja29bs73fimjk0,0,1,268,0,0,2,0,0,0,0,0.0,0.37,98.89,0.0,0.0,0.74,0.0,0.0,0.0,0.0,271,index options scalper
cv5vejgo80ps738dc9s0,0,42,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,index options non-scalper
cv8qfk0o80ps73car5fg,0,9,480,1,0,0,0,0,0,0,0.0,1.84,97.96,0.2,0.0,0.0,0.0,0.0,0.0,0.0,490,index options scalper
cv9qvod5m0ps73ajo90g,0,51,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,index options non-scalper
cvc01c0o80ps738v03r0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9,index options seller
cveggkt5m0ps7382uuc0,0,15,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,index options non-scalper
cveojara29bs738si7h0,0,0,1,8,0,0,0,0,0,0,0.0,0.0,11.11,88.89,0.0,0.0,0.0,0.0,0.0,0.0,9,index options seller
cvfjnggo80ps73e2s4gg,0,3,639,0,0,0,0,0,0,0,0.0,0.47,99.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642,index options scalper
cvft2nja29bs738ueu8g,0,70,0,0,0,78,0,0,0,0,0.0,47.3,0.0,0.0,0.0,52.7,0.0,0.0,0.0,0.0,148,mixed
cvgntst5m0ps73eima8g,0,0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,stock trader
cvi05bba29bs73dle0t0,0,0,15,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,index options scalper
cvmi4vd5m0ps73cug740,0,58,153,0,1,0,0,0,76,0,0.0,20.14,53.12,0.0,0.35,0.0,0.0,0.0,26.39,0.0,288,mixed
cvnlahgo80ps73cmd0mg,0,110,1,7,0,84,0,7,3,0,0.0,51.89,0.47,3.3,0.0,39.62,0.0,3.3,1.42,0.0,212,mixed
cvuaabja29bs73e1itug,0,0,0,0,25,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25,investor
cvv02h0o80ps73chm3e0,0,1,5,0,0,0,1,0,4,0,0.0,9.09,45.45,0.0,0.0,0.0,9.09,0.0,36.36,0.0,11,mixed
d013u0toukes73e6lrb0,2,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,futures trader
d01b6qtphlnc73c2mrrg,0,0,12,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,index options scalper
d01mvu6jrbhc73btfko0,0,1,135,145,0,2,13,27,14,0,0.0,0.3,40.06,43.03,0.0,0.59,3.86,8.01,4.15,0.0,337,mixed
d03hj1k6dd6s73cfqb20,0,7,10,0,0,0,0,0,0,0,0.0,41.18,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,mixed
d0524ntoukes73cmbnhg,0,350,9,0,0,0,0,0,0,0,0.0,97.49,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359,index options non-scalper
d067osc6dd6s73beenng,0,300,88,0,0,0,0,0,0,0,0.0,77.32,22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,index options non-scalper
d06brrejrbhc73eol8kg,0,37,230,21,0,1,8,0,0,0,0.0,12.46,77.44,7.07,0.0,0.34,2.69,0.0,0.0,0.0,297,index options scalper
d06g5aejrbhc73eor9eg,0,8,687,0,0,0,0,0,0,0,0.0,1.15,98.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695,index options scalper
